Acronym;Genus;Species;First week;last week;First week temperature (Species temperature) (õC);Coldest week temperature;ITS (mm);ITS SD;n
;;;;;;(õC);;;
THI;Thyreus;hirtus;21;29;21,15;21,15;3,09;0,12;4
EHI;Eucera;hispaliensis;16;30;16,66;16,66;3,08;0,06;4
ALIM;Andrena;limbata;16;24;16,66;16,66;3,06;;1
AHIS;Andrena;hispania;18;22;18,44;18,44;3,06;0,19;2
ALO;Anthidium;loti;25;34;25,14;25,14;3,06;0,13;3
OLAT;Osmia;latreillei;11;23;14,01;14,01;3,06;0,24;6
CAL;Colletes;albomaculatus;16;26;16,66;16,66;3,02;0,08;3
CSU;Colletes;succintus;24;43;23,96;17,4;2,99;;1
ODI;Osmia;dimidiata;22;29;22,32;22,32;2,99;0,24;3
HTRI;Hoplitis;tridentata;19;36;19,41;19,41;2,97;0,18;4
MLU;Melecta;luctuosa;9;20;12,45;12,45;2,97;0,08;3
ALAB;Andrena;cf. labialis;16;27;16,66;16,66;2,91;0,12;2
TST;Tetraloniella;strigata;17;30;17,44;17,44;2,89;0,05;2
TOR;Thyreus;orbatus;21;50;21,15;11;2,86;;1
ECO;Eucera;collaris;10;27;13,21;13,21;2,82;0,04;3
ASA;Amegilla;savignyi;27;33;26,79;26,79;2,79;;1
CAR;Coelioxys;argentea;24;42;23,96;18,64;2,79;0,07;3
HQU;Halictus;quadricinctus;16;36;16,66;16,66;2,79;0,12;3
OLAB;Osmia;labialis;15;25;16;16;2,79;0,19;2
;Apis;mellifera;-;-;-;-;2,79;;1
HBI;Hoplitis;bisulca;20;37;20,48;20,48;2,79;;1
CAB;Colletes;abeillei;15;47;16;12,81;2,78;0,1;3
ORUF;Osmia;rufa ;10;32;13,21;13,21;2,76;0,07;4
ACA;Andrena;carbonaria;12;33;14,58;14,58;2,75;0,21;3
OAU;Osmia;aurulenta;15;29;16;16;2,75;0,21;3
OLE;Osmia;leaiana;15;24;16;16;2,75;0,04;3
AAG;Andrena;agilissima;16;25;16,66;16,66;2,73;;1
CCO;Colletes;collaris;17;44;17,44;16,38;2,72;0,04;5
AFA;Amegilla;fasciata;17;42;17,44;17,44;2,7;0,08;3
APUB;Anthophora;pubescens;12;40;14,58;14,58;2,69;0,07;4
MVE;Megachile;versicolor;12;45;14,58;14,58;2,68;0,19;4
ABIM;Andrena;bimaculata;11;15;14,01;14,01;2,66;;1
ANPU;Anthidium;punctatum;18;33;18,44;18,44;2,66;;1
HSC;Halictus;scabiosae;13;33;15,16;15,16;2,62;0,25;3
MPIL;Megachile;pilidens;20;42;20,48;18,64;2,62;0,08;3
HOCR;Hoplitis;cristata;24;27;23,96;23,96;2,59;0,09;2
MGI;Megachile;giraudi;15;24;16;16;2,59;0,12;3
AOB;Anthidium;oblongatum;19;36;19,41;19,41;2,56;;1
ALIMA;Andrena;limata;10;33;13,21;13,21;2,51;0,1;3
HANT;Hoplitis;antigae;19;25;19,41;19,41;2,5;;1
ATR;Andrena;trimmerana;9;36;12,45;12,45;2,49;0,05;2
ABI;Anthophora;bimaculata;18;47;18,44;12,81;2,46;0,07;3
MFL;Megachile;flabellipes;23;30;23,12;23,12;2,46;0,07;3
TFU;Tetraloniella;fulvescens;21;24;21,15;21,15;2,46;;1
EEL;Eucera;elongatula;10;27;13,21;13,21;2,44;0,1;3
ANI;Andrena;nigroaenea;3;25;10,21;10,21;2,42;0,25;17
ONI;Osmia;niveata;17;25;17,44;17,44;2,42;0,15;3
LAL;Lasioglossum;albocinctum;14;50;15,7;11;2,4;0,12;4
CSI;Colletes;similis;19;43;19,41;17,4;2,4;0,15;5
;Andrena;sp.1;-;-;-;-;2,39;;1
OBR;Osmia;brevicornis;15;26;16;16;2,38;0,11;4
CCH;Ceratina;chalcites;17;36;17,44;17,44;2,37;0,1;3
MAP;Megachile;apicalis;19;37;19,41;19,41;2,37;0,08;3
HOANT;Hoplitis;anthocopoides;15;24;16;16;2,36;0,01;2
OME;Osmia;melanogaster;16;26;16,66;16,66;2,36;0,05;2
;Panurgus;arctos;-;-;-;-;2,36;;1
AFU;Andrena;fulva;12;15;14,58;14,58;2,33;;1
HBE;Hoplitis;benoisti;18;33;18,44;18,44;2,33;;1
NMU;Nomada;mutabilis;7;16;11,32;11,32;2,32;;1
CNI;Colletes;nigricans;18;42;18,44;18,44;2,3;0,13;18
OCAE;Osmia;caerulescens;14;33;15,7;15,7;2,29;0,36;8
CFO;Colletes;foveolaris;18;23;18,44;18,44;2,27;0,09;6
COB;Coelioxys;obtusa;23;36;23,12;23,12;2,26;;1
;Andrena;sp.2;-;-;-;-;2,26;;1
OLIG;Osmia;ligurica;17;28;17,44;17,44;2,25;0,16;6
AST;Anthidiellum;strigatum;19;41;19,41;19,41;2,24;0,04;3
;Andrena;sp.3;-;-;-;-;2,23;0,24;2
ARH;Andrena;rhenana;10;24;13,21;13,21;2,23;0,1;2
ANIG;Andrena;nigrolivacea;11;44;14,01;14,01;2,21;0,06;4
 ;Andrena;sp.4;-;-;-;-;2.21;;1
;Andrena;sp.5;-;-;-;-;2,19;;1
;Anthidiellum;breviusculum;-;-;-;-;2,19;0,09;2
LDI;Lasioglossum;discum;22;42;22,32;18,64;2,19;0,07;6
HFU;Halictus;fulvipes;13;46;15,16;13,74;2,13;0,16;5
ALI;Pseudoanthidium;lituratum;17;42;17,44;17,44;2,13;0,13;3
;Andrena;sp.6;-;-;-;-;2,13;;1
AOV;Andrena;ovatula;10;30;13,21;13,21;2,11;0,16;6
EJU;Epeolus;julliani ;24;39;23,96;22,01;2,1;;1
LNI;Lasioglossum;nigripes;16;44;16,66;16,38;2,1;;1
AHU;Andrena;humilis;9;33;12,45;12,45;2,1;0,05;2
ASI;Andrena;similis;11;20;14,01;14,01;2,1;;1
CAF;Coelioxys;afra;19;42;19,41;18,64;2,1;0,05;2
CEC;Coelioxys;echinata;24;41;23,96;19,65;2,1;0,14;2
NSE;Nomada;sexfasciata;8;23;11,84;11,84;2,1;;1
OAN;Osmia;anceyi;20;29;20,48;20,48;2,1;0,05;2
ASE;Andrena;senecionis;12;41;14,58;14,58;2,08;0,1;3
HAC;Hoplitis;acuticornis;16;28;16,66;16,66;2,08;0,14;3
EFA;Epeolus;cf. fallax;19;41;19,41;19,41;2,06;;1
HPE;Hoplitis;perezi;18;24;18,44;18,44;2,06;0,07;3
;Epeolus;sp. 1;-;-;-;-;2,06;0;3
PBI;Nomiapis;bispinosa;22;35;22,32;22,32;2,06;0,12;3
;Nomada;goodeniana;-;-;-;-;2,05;;1
;Epeolus;sp.2;-;-;-;-;2,04;;1
ALA;Andrena;lagopus;11;24;14,01;14,01;2,01;;1
DTR;Dioxys;tridentata;26;33;25,96;25,96;2,01;;1
HCREN;Halictus;crenicornis;14;38;15,7;15,7;2,01;0,11;5
HAD;Hoplitis;adunca;14;31;15,7;15,7;2;0,18;3
;Andrena;decipiens;-;-;-;-;2;0,19;2
;Andrena;sp.7;-;-;-;-;2;;1
AMUC;Andrena;mucida;15;28;16;16;1,99;0,1;2
AAN;Andrena;angustior ;1;21;9,99;9,99;1,98;0,07;6
 ;Andrena;sp.8;-;-;-;-;1.98;;1
;Epeolus;sp.3;-;-;-;-;1,98;;1
ALEP;Andrena;lepida;16;21;16,66;16,66;1,95;;1
AFLA;Andrena;flavipes;10;20;13,21;13,21;1,93;0,2;3
 ;Andrena;sp. 9;-;-;-;-;1.93;;1
AHE;Andrena;hesperia;16;21;16,66;16,66;1,93;;1
LLE;Lasioglossum;leucozonium;11;36;14,01;14,01;1,92;0,08;2
;Andrena;sp.10;-;-;-;-;1,91;0,01;3
NBA;Nomada;basalis;18;26;18,44;18,44;1,9;0,05;2
;Nomada;emarginata;-;-;-;-;1,89;;1
NMA;Nomada;marshamella;10;25;13,21;13,21;1,87;0,28;8
NSU;Nomada;succinta;4;24;10,57;10,57;1,87;0,19;7
OSU;Osmia;submicans;9;26;12,45;12,45;1,86;0,12;3
APR;Andrena;propinqua;7;26;11,32;11,32;1,85;0,12;12
AGR;Andrena;granulosa;15;20;16;16;1,83;0,05;3
;Nomada;ferruginata;-;-;-;-;1,82;0,07;6
;Andrena;fertoni;-;-;-;-;1,81;0,08;4
;Epeolus;sp.4;-;-;-;-;1,8;;1
OAND;Osmia;andrenoides;15;36;16;16;1,8;0,09;2
ORU;Osmia;rufohirta;13;26;15,16;15,16;1,8;0,24;3
PCA;Panurgus;calcaratus;15;42;16;16;1,79;0,06;2
PDI;Nomiapis;diversipes;19;42;19,41;18,64;1,76;0,19;3
HCRE;Hoplitis;crenulata;17;29;17,44;17,44;1,75;0,14;6
SRU;Sphecodes;ruficrus;8;42;11,84;11,84;1,73;0,18;10
SSI;Stelis;signata;19;38;19,41;19,41;1,73;0,07;3
;Andrena;sp.11;-;-;-;-;1,73;;1
;Ceratina;mocsaryi;-;-;-;-;1,73;;1
ECR;Epeolus;cruciger ;19;41;19,41;19,41;1,7;0,14;2
HPO;Halictus;pollinosus;29;42;27,68;18,64;1,69;0;2
APU;Ammobates;punctatus;20;40;20,48;20,48;1,69;0,04;3
DCI;Dioxys;cincta;16;27;16,66;16,66;1,68;0,07;3
PCAP;Protosmia;capitata;15;21;16;16;1,66;0,28;2
HSI;Hylaeus;signatus;12;33;14,58;14,58;1,66;;1
LBI;Lasioglossum;bimaculatum;11;42;14,01;14,01;1,65;0,07;5
OGA;Osmia;gallarum;12;27;14,58;14,58;1,64;0,1;3
HTR;Heriades;truncorum;26;33;25,96;25,96;1,63;0,15;7
HSU;Halictus;subauratus;15;39;16;16;1,63;0,03;3
NPU;Nomada;pusilla;14;28;15,7;15,7;1,63;;1
;Osmia;cephalotes;-;-;-;-;1,63;0,07;4
NIN;Nomada;integra;16;21;16,66;16,66;1,62;0,02;2
 ;Andrena;sp.12;-;-;-;-;1.61;;1
NSA;Nomada;laevilabris;23;26;23,12;23,12;1,6;;1
;Andrena;sp.13;-;-;-;-;1,6;;1
;Nomada;bifasciata;-;-;-;-;1,6;;1
NMAC;Nomada;maculicornis;14;21;15,7;15,7;1,58;;1
LSU;Lasioglossum;subhirtum;8;35;11,84;11,84;1,57;0,08;3
AVU;Andrena;vulpecula;13;21;15,16;15,16;1,56;0,04;3
 ;Andrena;sp.14;-;-;-;-;1.56;;1
HGI;Hylaeus;gibbus;15;18;16;16;1,55;0,06;4
NZO;Nomada;zonata;10;24;13,21;13,21;1,54;0,16;5
PMA;Pasites;maculatus;19;42;19,41;18,64;1,52;0,08;3
NCA;Nomada;carnifex;12;18;14,58;14,58;1,52;0,2;2
HVE;Halictus;vestitus;19;36;19,41;19,41;1,51;;1
HPI;Hylaeus;pictus;20;39;20,48;20,48;1,51;;1
HVA;Hylaeus;variegatus;18;32;18,44;18,44;1,51;0,12;2
CEM;Chelostoma;emarginatum;15;26;16;16;1,51;0,04;3
SAL;Sphecodes;alternatus;19;37;19,41;19,41;1,49;0,12;7
HCR;Heriades;crenulatus;22;42;22,32;18,64;1,49;0,1;3
LME;Lasioglossum;mediterraneum;6;36;11,42;11,42;1,48;0,21;3
PDE;Panurgus;dentipes;18;43;18,44;17,4;1,48;0,1;4
HPIL;Hylaeus;pilosulus;15;24;16;16;1,48;;1
ANA;Andrena;nana;11;26;14,01;14,01;1,47;;1
ANIV;Andrena;niveata lecana;11;23;14,01;14,01;1,47;;1
CCU;Ceratina;cucurbitina;9;44;12,45;12,45;1,46;0,07;3
;Hylaeus;convergens;-;-;-;-;1,46;;1
NHI;Nomada;hispanica;9;18;12,45;12,45;1,46;0,12;4
HLE;Hoplitis;leucomelana;23;41;23,12;19,65;1,46;;1
AALF;Andrena;alfkenella;13;21;15,16;15,16;1,46;;1
HMA;Halictus;maculatus;13;39;15,16;15,16;1,45;0,14;7
CED;Chelostoma;edentulum;13;22;15,16;15,16;1,44;0,1;3
LPAL;Lasioglossum;pallens;11;15;14,01;14,01;1,44;;1
HPR;Hylaeus;praenotatus;18;40;18,44;18,44;1,43;0,07;10
CCY;Ceratina;cyanea;13;44;15,16;15,16;1,42;0,04;3
;Nomada;beaumonti;-;-;-;-;1,4;;1
ASIM;Andrena;simontornyella;16;24;16,66;16,66;1,4;;1
LIN;Lasioglossum;interruptum;12;39;14,58;14,58;1,39;0,03;6
SBR;Stelis;breviuscula;26;38;25,96;23,39;1,37;0,04;3
HRU;Heriades;rubicola;19;39;19,41;19,41;1,36;0,03;3
LVI;Lasioglossum;villosulum;11;44;14,01;14,01;1,35;;1
AMI;Andrena;minutula;3;25;10,21;10,21;1,35;0,07;11
;Andrena;cf. saxonica;-;-;-;-;1,34;;1
HSP;Hylaeus;spilotus;18;40;18,44;18,44;1,34;0,09;3
LMA;Lasioglossum;malachurum;7;46;11,32;11,32;1,34;0,09;6
;Hoplitis;annulata;-;-;-;-;1,34;;1
ATE;Andrena;tenuistriata;4;21;10,57;10,57;1,34;0,08;8
HDI;Hylaeus;difformis;18;34;18,44;18,44;1,33;0;2
ASEM;Andrena;semilaevis;13;24;15,16;15,16;1,32;0,06;2
HHY;Hylaeus;hyalinatus;11;41;14,01;14,01;1,32;0,08;14
HCOR;Hylaeus;cornutus;23;37;23,12;23,12;1,3;;1
PEX;Protosmia;exenterata;14;27;15,7;15,7;1,3;0,06;2
SMO;Sphecodes;monilicornis;17;38;17,44;17,44;1,29;0,1;9
ASPR;Andrena;spreta;17;21;17,44;17,44;1,28;0,13;4
HBRA;Hylaeus;brachycephalus;15;26;16;16;1,28;;1
ONA;Osmia;nasuta;18;22;18,44;18,44;1,28;0,12;2
;Protosmia;glutinosa;-;-;-;-;1,28;;1
HPU;Hylaeus;punctatus;20;44;20,48;16,38;1,27;0,04;19
ADJ;Andrena;djelfensis;15;20;16;16;1,27;0,04;6
HCO;Hylaeus;communis;18;33;18,44;18,44;1,27;0,06;2
;Heriades;sp.1;-;-;-;-;1,27;;1
;Protosmia;asensioi;-;-;-;-;1,25;0,38;3
SRUF;Sphecodes;rufiventris;17;31;17,44;17,44;1,25;0,18;3
HYSU;Hylaeus;sulphuripes;26;33;25,96;25,96;1,24;0,02;2
HAN;Hylaeus;angustatus;24;37;23,96;23,95;1,22;;1
AVE;Andrena;verticalis;12;25;14,58;14,58;1,2;0,04;3
LCAP;Lasioglossum;capitale;24;28;23,96;23,96;1,2;;1
;Osmia;scutellaris;-;-;-;-;1,2;;1
NDI;Nomada;discrepans;8;37;11,84;11,84;1,18;0,14;2
CDA;Ceratina;dallatorreana;27;34;26,79;26,45;1,18;0,1;3
;Hylaeus;gredleri;-;-;-;-;1,16;;1
LTR;Lasioglossum;transitorium ;5;50;10,97;10,97;1,16;0,09;3
HGE;Halictus;gemmeus;6;46;11,42;11,42;1,16;0,11;16
SPU;Sphecodes;puncticeps;11;41;14,01;14,01;1,15;0,06;5
LMO;Lasioglossum;morio;13;35;15,16;15,16;1,14;;1
CDE;Ceratina;dentiventris;17;40;17,44;17,44;1,13;0,07;3
SMIN;Sphecodes;aff.miniatus;14;31;15,7;15,7;1,13;;1
HSM;Halictus;smaragdulus;20;45;20,48;14,96;1,12;0,21;15
NPA;Nomada;panurgina ;16;33;16,66;16,66;1,11;;1
LPAU;Lasioglossum;pauxillum ;20;25;20,48;20,48;1,1;;1
 ;Sphecodes;cf. combai;-;-;-;-;1.10;;1
 ;Sphecodes;hirtellus;-;-;-;-;1.10;;1
LPA;Lasioglossum;pauperatum;16;35;16,66;16,66;1,08;;1
;Hylaeus;rubicola;-;-;-;-;1,08;;1
NFL;Nomada;flavoguttata;7;24;11,32;11,32;1,06;0,05;4
NDIS;Nomada;distinguenda;9;39;12,45;12,45;1,05;;1
SDU;Sphecodes;dusmeti;11;25;14,01;14,01;1,05;;1
PAL;Panurginus;albopilosus;17;24;17,44;17,44;1,03;0,06;2
;Chelostoma;foveolatum;-;-;-;-;1,03;;1
SPS;Sphecodes;pseudofasciatus;13;43;15,16;15,16;1,02;0,05;3
AmspA;Andrena;sp.15;19;25;19,41;19,41;1,01;0,02;3
;Andrena;sp.16;-;-;-;-;1,01;;1
HCL;Hylaeus;clypearis ;17;50;17,44;11;1;0,07;4
HTA;Hylaeus;taeniolatus ;16;50;16,66;11;1;0,06;25
LATR;Lasioglossum;atrovirens ;14;34;15,7;15,7;0,99;0,04;3
HIM;Hylaeus;imparilis;19;44;19,41;16,38;0,99;0,07;18
HBR;Hylaeus;brevicornis;11;46;14,01;13,74;0,97;0,05;13
NCO;Nomada;coronata;15;24;16;16;0,96;0,04;4
LGR;Lasioglossum;griseolum;15;50;16;11;0,93;0,03;3
LGL;Lasioglossum;glabriusculum ;26;39;25,96;22,01;0,89;;1
NSH;Nomada;sheppardana;9;23;12,45;12,45;0,88;0,08;6
LPO;Lasioglossum;politum;16;38;16,66;16,66;0,86;0,03;2
LMIN;Lasioglossum;minutissimum;9;28;12,45;12,45;0,8;0;2
;Lasioglossum;pseudoplanulum;-;-;-;-;0,8;;1
NMI;Nomioides;minutissimus;26;38;25,96;23,39;0,77;0,03;4
CPA;Ceratina;parvula;23;37;23,12;23,12;0,75;0,02;3
